lat,lon,strength
-31.4843488272,117.1343304000,4.0
-31.2988433344,117.0097592644,4.0
-31.2188674894,117.0412603208,3.3
-31.3602121468,117.0213694445,3.6
-31.1818034255,117.0884330973,4.9
-31.3168258363,117.0371797156,3.3
-31.4798834403,117.1822321355,3.8
-31.2740902149,117.0176597966,3.3
-31.2277347460,117.0104925170,4.4
-30.9152121687,116.7976750366,3.7
-30.9283994902,116.7493844632,4.3
-31.3170542342,117.0998515414,4.3
-30.8980729073,116.7212145266,3.4
-30.8589040741,116.7909742130,3.4
-31.4222887267,117.1631860978,3.4
-31.3610164453,117.0661108209,3.2
-30.9098839839,116.7770078160,3.3
-30.8249619669,116.8004445029,3.8
-31.3983085164,117.1825643541,2.9
-31.2350453382,117.1672358831,3.4
-31.0059149203,116.7810448819,3.0
-31.5191738336,117.2020999611,2.7
-31.1634517034,117.0100625698,2.9
-31.5413715774,117.1601116443,3.1
-31.4654087456,117.1181202138,3.1
-31.0826419501,116.8097627947,2.7
-30.7803693619,116.9196959143,2.6
-30.9906113368,116.7641074704,2.8
-30.7541089607,116.8623318406,2.6
-31.1685589264,116.9411291331,2.3
