bank_bin,count,mean,median,p95
"[5,10)",2,0.035472366593318996,0.035472366593318996,0.07295305208285054
"[10,15)",5,1.118808198149896,-0.0492125984251974,4.605196078431396
"[15,20)",7,2.4116968287613383,-0.0403410742547065,9.916780821917794
"[20,25)",5,2.582237762237786,1.3727272727272584,8.379120879120899
"[25,30)",3,4.523015873015855,3.0357142857142825,9.303571428571427
"[30,35)",5,7.303977591036437,7.866071428571448,9.959999999999988
"[35,40)",4,5.306502575191915,5.681338483717166,9.809615384615388
"[40,45)",7,3.127150808445083,0.3417371783802133,8.934999999999986
"[45,50)",19,3.423382439990167,2.368421052631471,10.0
"[50,55)",29,2.774600644929244,2.227272727272727,10.0
"[55,60)",62,2.196832074470311,1.657212885154068,7.774915733462539
"[60,65)",151,2.1134854258062084,1.9540363975735784,4.60374788255217
"[65,70)",425,2.0474489948399235,1.8504901960785352,4.6357902652232355
